ARN 	 Ar N 	 18 7
ARNs 	 Ar N S 	 18 7 16
Albigeois 	 Al B I Ge O I S 	 13 5 53 32 8 53 16
Albigeoises 	 Al B I Ge O I S Es 	 13 5 53 32 8 53 16 99
Allais 	 Al La I S 	 13 57 53 16
Amar 	 Am Ar 	 95 18
Aragon 	 Ar Ag O N 	 18 47 8 7
Argentin 	 Ar Ge N Ti N 	 18 32 7 22 7
Argentines 	 Ar Ge N Ti N Es 	 18 32 7 22 7 99
Asiates 	 As I At Es 	 33 53 85 99
Atlante 	 At La N Te 	 85 57 7 52
Atlantes 	 At La N Te S 	 85 57 7 52 16
Atlas 	 At La S 	 85 57 16
Atlas 	 At La S 	 85 57 16
Attali 	 At Ta Li 	 85 73 3
Aubois 	 Au B O I S 	 79 5 8 53 16
Auboises 	 Au B O I S Es 	 79 5 8 53 16 99
Auscitain 	 Au S C I Ta I N 	 79 16 6 53 73 53 7
Auscitaines 	 Au S C I Ta I N Es 	 79 16 6 53 73 53 7 99
Auscitains 	 Au S C I Ta I N S 	 79 16 6 53 73 53 7 16
Authonnier 	 Au Th O N N I Er 	 79 90 8 7 7 53 68
Authonniers 	 Au Th O N N I Er S 	 79 90 8 7 7 53 68 16
Bacchus 	 B Ac C H U S 	 5 89 6 1 92 16
Baloutches 	 B Al O U Tc H Es 	 5 13 8 92 43 1 99
Balte 	 B Al Te 	 5 13 52
Baltes 	 B Al Te S 	 5 13 52 16
Bambaras 	 B Am B Ar As 	 5 95 5 18 33
Barclay 	 B Ar C La Y 	 5 18 6 57 39
Barre 	 B Ar Re 	 5 18 75
Basic 	 B As I C 	 5 33 53 6
Bass 	 B As S 	 5 33 16
Basvestier 	 B As V Es Ti Er 	 5 33 23 99 22 68
Basvestiers 	 B As V Es Ti Er S 	 5 33 23 99 22 68 16
Berlinois 	 B Er Li N O I S 	 5 68 3 7 8 53 16
Berlinoises 	 B Er Li N O I S Es 	 5 68 3 7 8 53 16 99
Berlusconi 	 B Er Lu S C O N I 	 5 68 71 16 6 8 7 53
Bernois 	 B Er N O I S 	 5 68 7 8 53 16
Bernoises 	 B Er N O I S Es 	 5 68 7 8 53 16 99
Berruyer 	 B Er Ru Y Er 	 5 68 44 39 68
Besson 	 B Es S O N 	 5 99 16 8 7
Bihari 	 B I H Ar I 	 5 53 1 18 53
Biharis 	 B I H Ar I S 	 5 53 1 18 53 16
Bisontin 	 B I S O N Ti N 	 5 53 16 8 7 22 7
Bisontines 	 B I S O N Ti N Es 	 5 53 16 8 7 22 7 99
Bisontins 	 B I S O N Ti N S 	 5 53 16 8 7 22 7 16
Blaisois 	 B La I S O I S 	 5 57 53 16 8 53 16
Blaisoises 	 B La I S O I S Es 	 5 57 53 16 8 53 16 99
Boer 	 B O Er 	 5 8 68
Boers 	 B O Er S 	 5 8 68 16
Borg 	 B O Rg 	 5 8 111
Boss 	 B O S S 	 5 8 16 16
Boutin 	 B O U Ti N 	 5 8 92 22 7
Brahoui 	 B Ra H O U I 	 5 88 1 8 92 53
Brahouis 	 B Ra H O U I S 	 5 88 1 8 92 53 16
Branagh 	 B Ra N Ag H 	 5 88 7 47 1
Brugeois 	 B Ru Ge O I S 	 5 44 32 8 53 16
Brugeoises 	 B Ru Ge O I S Es 	 5 44 32 8 53 16 99
Bruges 	 B Ru Ge S 	 5 44 32 16
Bruni 	 B Ru N I 	 5 44 7 53
Buffalo 	 B U F F Al O 	 5 92 9 9 13 8
CDs 	 C Ds 	 6 110
Callas 	 C Al La S 	 6 13 57 16
Camus 	 C Am U S 	 6 95 92 16
Cariocas 	 C Ar I O C As 	 6 18 53 8 6 33
Carthaginois 	 C Ar Th Ag I N O I S 	 6 18 90 47 53 7 8 53 16
Carthaginoises 	 C Ar Th Ag I N O I S Es 	 6 18 90 47 53 7 8 53 16 99
Cartier 	 C Ar Ti Er 	 6 18 22 68
Cassis 	 C As S I S 	 6 33 16 53 16
Castelroussin 	 C As Te Lr O U S S I N 	 6 33 52 103 8 92 16 16 53 7
Castelroussines 	 C As Te Lr O U S S I N Es 	 6 33 52 103 8 92 16 16 53 7 99
Castelroussins 	 C As Te Lr O U S S I N S 	 6 33 52 103 8 92 16 16 53 7 16
Cauchoises 	 C Au C H O I S Es 	 6 79 6 1 8 53 16 99
Cauchy 	 C Au C H Y 	 6 79 6 1 39
Cham 	 C H Am 	 6 1 95
Chamberlain 	 C H Am B Er La I N 	 6 1 95 5 68 57 53 7
Chamoniards 	 C H Am O N I Ar Ds 	 6 1 95 8 7 53 18 110
Chams 	 C H Am S 	 6 1 95 16
Charolais 	 C H Ar O La I S 	 6 1 18 8 57 53 16
Charolaises 	 C H Ar O La I S Es 	 6 1 18 8 57 53 16 99
Chinoises 	 C H I N O I S Es 	 6 1 53 7 8 53 16 99
Chirac 	 C H I Ra C 	 6 1 53 88 6
Chopin 	 C H O P I N 	 6 1 8 15 53 7
Chopin 	 C H O P I N 	 6 1 8 15 53 7
Cingalais 	 C I N Ga La I S 	 6 53 7 31 57 53 16
Cingalaises 	 C I N Ga La I S Es 	 6 53 7 31 57 53 16 99
Clavier 	 C La V I Er 	 6 57 23 53 68
Club 	 C Lu B 	 6 71 5
Cochinchinois 	 C O C H I N C H I N O I S 	 6 8 6 1 53 7 6 1 53 7 8 53 16
Cochinchinoises 	 C O C H I N C H I N O I S Es 	 6 8 6 1 53 7 6 1 53 7 8 53 16 99
Cocteau 	 C O C Te Au 	 6 8 6 52 79
Comtois 	 C O Mt O I S 	 6 8 109 8 53 16
Comtoises 	 C O Mt O I S Es 	 6 8 109 8 53 16 99
Conti 	 C O N Ti 	 6 8 7 22
Cooper 	 C O O P Er 	 6 8 8 15 68
Coopers 	 C O O P Er S 	 6 8 8 15 68 16
Copernic 	 C O P Er N I C 	 6 8 15 68 7 53 6
Corfiote 	 C O Rf I O Te 	 6 8 104 53 8 52
Corfiotes 	 C O Rf I O Te S 	 6 8 104 53 8 52 16
Cosby 	 C O S B Y 	 6 8 16 5 39
Cosmos 	 C O S Mo S 	 6 8 16 42 16
Cousteau 	 C O U S Te Au 	 6 8 92 16 52 79
Cresson 	 C Re S S O N 	 6 75 16 16 8 7
Creusois 	 C Re U S O I S 	 6 75 92 16 8 53 16
Creusoises 	 C Re U S O I S Es 	 6 75 92 16 8 53 16 99
Eros 	 Er O S 	 68 8 16
Esclavon 	 Es C La V O N 	 99 6 57 23 8 7
Esclavonnes 	 Es C La V O N N Es 	 99 6 57 23 8 7 7 99
FBI 	 F B I 	 9 5 53
Fassi 	 F As S I 	 9 33 16 53
Fassies 	 F As S I Es 	 9 33 16 53 99
Fassis 	 F As S I S 	 9 33 16 53 16
Faure 	 F Au Re 	 9 79 75
Ferrarais 	 F Er Ra Ra I S 	 9 68 88 88 53 16
Ferraraises 	 F Er Ra Ra I S Es 	 9 68 88 88 53 16 99
Finnois 	 F I N N O I S 	 9 53 7 7 8 53 16
Finnoises 	 F I N N O I S Es 	 9 53 7 7 8 53 16 99
Fischer 	 F I S C H Er 	 9 53 16 6 1 68
Fisher 	 F I S H Er 	 9 53 16 1 68
Gabalitain 	 Ga B Al I Ta I N 	 31 5 13 53 73 53 7
Gabalitaines 	 Ga B Al I Ta I N Es 	 31 5 13 53 73 53 7 99
Gabalitains 	 Ga B Al I Ta I N S 	 31 5 13 53 73 53 7 16
Gabin 	 Ga B I N 	 31 5 53 7
Gainsbourg 	 Ga I N S B O U Rg 	 31 53 7 16 5 8 92 111
Gala 	 Ga La 	 31 57
Gasconnes 	 Ga S C O N N Es 	 31 16 6 8 7 7 99
Gascons 	 Ga S C O N S 	 31 16 6 8 7 16
Gennes 	 Ge N N Es 	 32 7 7 99
Georgi 	 Ge O Rg I 	 32 8 111 53
Hamon 	 H Am O N 	 1 95 8 7
Hessois 	 H Es S O I S 	 1 99 16 8 53 16
Hessoises 	 H Es S O I S Es 	 1 99 16 8 53 16 99
Hippocrate 	 H I P P O C Ra Te 	 1 53 15 15 8 6 88 52
Hitchcock 	 H I Tc H C O C K 	 1 53 43 1 6 8 6 19
Hitler 	 H I Tl Er 	 1 53 81 68
Hopkins 	 H O P K I N S 	 1 8 15 19 53 7 16
Incas 	 I N C As 	 53 7 6 33
Ionesco 	 I O N Es C O 	 53 8 7 99 6 8
Issas 	 I S S As 	 53 16 16 33
K 	 K 	 19
KO 	 K O 	 19 8
Kachoubes 	 K Ac H O U B Es 	 19 89 1 8 92 5 99
Khasi 	 K H As I 	 19 1 33 53
Khasis 	 K H As I S 	 19 1 33 53 16
Kikuyu 	 K I K U Y U 	 19 53 19 92 39 92
Kikuyus 	 K I K U Y U S 	 19 53 19 92 39 92 16
Kinsky 	 K I N S K Y 	 19 53 7 16 19 39
Kinsky 	 K I N S K Y 	 19 53 7 16 19 39
Kosovar 	 K O S O V Ar 	 19 8 16 8 23 18
Kosovares 	 K O S O V Ar Es 	 19 8 16 8 23 18 99
Kosovars 	 K O S O V Ar S 	 19 8 16 8 23 18 16
Kosovo 	 K O S O V O 	 19 8 16 8 23 8
Lamoute 	 La Mo U Te 	 57 42 92 52
Lamoutes 	 La Mo U Te S 	 57 42 92 52 16
Lapointe 	 La P O I N Te 	 57 15 8 53 7 52
Lapon 	 La P O N 	 57 15 8 7
Lapones 	 La P O N Es 	 57 15 8 7 99
Laponnes 	 La P O N N Es 	 57 15 8 7 7 99
Lapons 	 La P O N S 	 57 15 8 7 16
Lapouge 	 La P O U Ge 	 57 15 8 92 32
Latin 	 La Ti N 	 57 22 7
Latines 	 La Ti N Es 	 57 22 7 99
Latins 	 La Ti N S 	 57 22 7 16
Lauby 	 La U B Y 	 57 92 5 39
Limougeauds 	 Li Mo U Ge Au Ds 	 3 42 92 32 79 110
Limousines 	 Li Mo U S I N Es 	 3 42 92 16 53 7 99
Limousins 	 Li Mo U S I N S 	 3 42 92 16 53 7 16
Lucernois 	 Lu C Er N O I S 	 71 6 68 7 8 53 16
Lucernoises 	 Lu C Er N O I S Es 	 71 6 68 7 8 53 16 99
Luo 	 Lu O 	 71 8
Luos 	 Lu O S 	 71 8 16
Lupin 	 Lu P I N 	 71 15 53 7
Lusitain 	 Lu S I Ta I N 	 71 16 53 73 53 7
Lusitaines 	 Lu S I Ta I N Es 	 71 16 53 73 53 7 99
Lusitains 	 Lu S I Ta I N S 	 71 16 53 73 53 7 16
Monge 	 Mo N Ge 	 42 7 32
Moore 	 Mo O Re 	 42 8 75
Moore 	 Mo O Re 	 42 8 75
Moraves 	 Mo Ra V Es 	 42 88 23 99
More 	 Mo Re 	 42 75
Mores 	 Mo Re S 	 42 75 16
Mossi 	 Mo S S I 	 42 16 16 53
Mossis 	 Mo S S I S 	 42 16 16 53 16
Nagui 	 N Ag U I 	 7 47 92 53
